Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Ebenaceae,Euclea racemosa,Euclea racemosa,TRUE,NCBI,0.988,Indian Ocean coast of Africa,,,,12,1.8,,http://tropical.theferns.info/viewtropical.php?id=Euclea+racemosa,,1,1,,0,Ebenaceae
Asteraceae,Eupatorium cannabinum,Eupatorium cannabinum,TRUE,NCBI,0.988,Europe,,1,Native,,,1.5,https://en.wikipedia.org/wiki/Eupatorium_cannabinum,,0,1,,0,Asteraceae
Asteraceae,Eupatorium perfoliatum,Eupatorium perfoliatum,TRUE,NCBI,0.988,Eastern North America,,,,,,1,https://en.wikipedia.org/wiki/Eupatorium_perfoliatum,,0,1,,0,Asteraceae
Fagaceae,Fagus sylvatica,Fagus sylvatica,TRUE,NCBI,0.988,Europe,,30.9125408,Native,35,25,,https://en.wikipedia.org/wiki/Fagus_sylvatica,,1,1,,0,Fagaceae
Fabaceae,Falcataria moluccana,Falcataria moluccana,TRUE,NCBI,0.988,"New Guinea, Papua New Guinea, Solomon Islands",,,,,,30,https://en.wikipedia.org/wiki/Falcataria_moluccana,,1,1,,1,Fabaceae
Polygonaceae,Fallopia japonica,Fallopia japonica,TRUE,NCBI,0.988,East Asia and Japan,,,,4,3,,https://en.wikipedia.org/wiki/Fallopia_japonica,,0,1,,0,Polygonaceae
Poaceae,Festuca arundinacea,Festuca arundinacea,TRUE,NCBI,0.988,Europe,,0.6,Native,1.8,0.45,,http://www.kew.org/data/grasses-db/www/imp04400.htm,,0,1,,0,Poaceae
Poaceae,Festuca campestris,Festuca campestris,TRUE,EOL,0.988,,Origin unsure,,,1,0.6,,http://www.kew.org/data/grasses-db/www/imp04452.htm,,0,,,0,Poaceae
Poaceae,Festuca idahoensis,Festuca idahoensis,TRUE,NCBI,0.988,Western North America,,,,1,0.4,,http://www.kew.org/data/grasses-db/www/imp04623.htm,,0,1,,0,Poaceae
Poaceae,Festuca ovina,Festuca ovina,TRUE,NCBI,0.988,Europe and Asia,,0.134164079,Native,,,0.43,http://www.brc.ac.uk/plantatlas/index.php?q=node/1958,,0,1,,0,Poaceae
Poaceae,Festuca rubra,Festuca rubra,TRUE,NCBI,0.988,Northern Hemisphere,,0.343414273,Native,0.9,0.15,,http://www.kew.org/data/grasses-db/www/imp04840.htm,,0,1,,0,Poaceae
#N/A,Ficinia,Ficinia,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,0,#N/A
Oleaceae,Fraxinus angustifolia,Fraxinus angustifolia,TRUE,Wikispecies,0.988,"Europe, South West Asia, North Africa",,,,30,20,,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,1,1,,0,Oleaceae
Oleaceae,Fraxinus anustifola,Fraxinus angustifolia,FALSE,Catalogue of Life,0.75,"Europe, South West Asia, North Africa",,,,30,20,,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,1,1,,0,Oleaceae
Rubiaceae,Galium palustre,Galium palustre,TRUE,NCBI,0.988,"Europe, North America, Eastern North America",,0.364732988,Native,,,0.75,https://www.brc.ac.uk/plantatlas/index.php?q=plant/galium-palustre,,0,1,,0,Rubiaceae
Lamiaceae,Glechoma hederacea,Glechoma hederacea,TRUE,NCBI,0.988,Europe and Southwestern Asia,,0.226793316,Native,0.5,0.05,,https://en.wikipedia.org/wiki/Glechoma_hederacea,,0,1,,0,Lamiaceae
