EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1347,0.0064,4,0.1228,0.0082,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006b,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1429,0.0059,4,0.1209,0.0038,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006c,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1903,0.0036,4,0.1734,0.0155,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006d,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1
Aboveground biomass,tonnes per hectare of biomass,Aboveground biomass,1.7,0.1,3,8.6,1,3,,Themeda trianda,Pennisetum polystachion,Douglas et al 2004,Douglas et al 2004a,2004,-13.15,130.65,Observational,Forest,Terrestrial,1.5,1.65,0,0,0,0
Nitrate availability,nanograms per gram of resin per day,Soil nitrogen,81.2,1.7,5,71.8,2.3,5,,Themeda trianda,Pennisetum polystachion,Douglas et al 2004,Douglas et al 2004a,2004,-13.15,130.65,Observational,Forest,Terrestrial,1.5,1.65,0,0,0,0
Extractable NH4,mg of nitrogen per kilogram of soil,Soil Nitrogen,6.4541,5.999233939,9,3.4588,3.336087401,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Extractable NO3,milligrams of Nitrogen per kilogram of soil,Soil Nitrogen,0.0905,0.134263072,9,3.0086,2.828943606,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Extractable NH4,mg of nitrogen per kilogram of soil,Soil Nitrogen,4.65185,3.933139291,9,11.3106,10.3132729,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Extractable NO3,milligrams of Nitrogen per Kg soil,Soil Nitrogen,0.2911,0.305736508,9,1.01625,0.924298223,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Extractable NH4,milligrams of Nitrogen per kilogram of soil,Soil Nitrogen,1.8468,1.555684856,9,3.0593,2.602428109,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Extractable NO3,milligrams of N per kilogram of soil,Soil Nitrogen,0.1036,0.105310446,9,0.1991,0.201642288,9,,Vaccinium pallidum,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,Observational,Forest,Terrestrial,0.37,1.55,1,1,1,1
Soil organic matter,,Soil carbon,2.72,0.04,4,3.12,0.02,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1
Total N,,Soil nitrogen,0.94,0.06,4,1.12,0.03,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1
Available N,,Soil nitrogen,23.9,1.75,4,62.55,7.35,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1
Standing water ammonia,milligrams of ammonia per litre of standing water,Soil nitrogen,0.4808,0.058716049,5,0.23805,0.083219075,5,,Typha latifolia,Lythrum salicaria,Fickbohm et al 2006,Fickbohm et al 2006a,2006,43,-76.75,Observational,Freshwater wetland,Aquatic,2.25,1.5,0,0,1,1
Sediment extractable ammonium,milligrams of ammonia per metre squared of sediment,Soil nitrogen,315.8515667,101.7792373,5,441.3736333,38.76542886,5,,Typha latifolia,Lythrum salicaria,Fickbohm et al 2006,Fickbohm et al 2006a,2006,43,-76.75,Observational,Freshwater wetland,Aquatic,2.25,1.5,0,0,1,1
Sediment extractable nitrate,milligrams of nitrate per metre squared of sediment,Soil nitrogen,71.28053333,8.584433333,5,41.575,8.5837,5,,Typha latifolia,Lythrum salicaria,Fickbohm et al 2006,Fickbohm et al 2006a,2006,43,-76.75,Observational,Freshwater wetland,Aquatic,2.25,1.5,0,0,1,1
Aboveground biomass,,Aboveground biomass,1.93,0.13,5,1.47,0.04,5,,Typha latifolia,Lythrum salicaria,Fickbohm et al 2006,Fickbohm et al 2006a,2006,43,-76.75,Observational,Freshwater wetland,Aquatic,2.25,1.5,0,0,1,1
Aboveground biomass,grams per metre squared,Aboveground biomass,420.29974,123.8713822,10,593.54903,130.2401252,10,SD,Pascopyrum smithii,Bromus inermis,Fink and Wilson (2011),Fink and Wilson (2011)a,2011,49.06833333,-106.5308056,Observational,Grassland,Terrestrial,0.6,0.685,0,0,1,1
Belowground biomass,grams per metre squared,Belowground biomass,1027.50664,916.4859318,10,999.390525,542.9654238,10,SD,Pascopyrum smithii,Bromus inermis,Fink and Wilson (2011),Fink and Wilson (2011)a,2011,49.06833333,-106.5308056,Observational,Grassland,Terrestrial,0.6,0.685,0,0,1,1
Relative soil moisture,,Soil moisture,0.26476,0.142635107,10,0.158416667,0.050227698,10,SD,Pascopyrum smithii,Bromus inermis,Fink and Wilson (2011),Fink and Wilson (2011)a,2011,49.06833333,-106.5308056,Observational,Grassland,Terrestrial,0.6,0.685,0,0,1,1
Soil organic carbon,miligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,9.45,0.35,20,9.22,0.39,20,,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1
Total soil phophorus,milligrams of phosphorus per kilogram of soil (0-5cm depth),Soil phosphorus,26.2,0.9,10,33.8,1.8,10,,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1
Total soil nitrogen,milligrams of nitrogen per kilogram of soil (0-5cm depth),Soil nitrogen,468,19,20,483,24,20,,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1
Soil organic carbon,milligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,9.45,0.35,20,11.8,0.6,20,,Banksia menziesii,Pelargonium capitatum,Fisher et al 2006,Fisher et al 2006b,2006,-31.947556,115.78105,Observational,Forest,Terrestrial,10,1,1,0,1,NA
Total soil nitrogen,milligrams of nitrogen per kilogram of soil (0-5cm depth),Soil nitrogen,468,19,20,609,40,20,,Banksia menziesii,Pelargonium capitatum,Fisher et al 2006,Fisher et al 2006b,2006,-31.947556,115.78105,Observational,Forest,Terrestrial,10,1,1,0,1,NA
Soil water content,,Soil moisture,9.32,0.73,24,6.4,0.54,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Soil carbon,,Soil carbon,7.13,0.23,24,5.05,0.31,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Soil nitrogen,,Soil nitrogen,0.41,0.03,24,0.25,0.02,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Soil phosphate,,Soil phosphorus,5.2,0.32,24,12.64,1.13,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Biomass,,Aboveground biomass,64.5,4.82,24,71.59,4.82,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Soil moisture,Percentage soil moisture (0-10cm depth),Soil moisture,71,2,4,67,2,4,,Metrosideros polymorpha,Hedychium gardnerianum,Funk 2005,Funk 2005a,2005,19.41666667,-155.25,Observational,Forest,Terrestrial,22.5,2.4,1,0,1,1
Soil inorganic nitrogen,micrograms of nitrogen per gram of soil (0-10cm depth),Soil nitrogen,2.1,0.7,4,2.4,0.3,4,,Metrosideros polymorpha,Hedychium gardnerianum,Funk 2005,Funk 2005a,2005,19.41666667,-155.25,Observational,Forest,Terrestrial,22.5,2.4,1,0,1,1
Soil nitrogen,mg per kg of soil,Soil nitrogen,1648.9,226,3,1543.4,407,3,SD,Euclea racemosa,Pennisetum clandestinum,Gaertner et al. (2011),Gaertner et al. (2011)a,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,6.9,0.15,1,0,1,0
Soil nitrogen,mg per kg of soil,Soil nitrogen,2082.3,345.8,3,4125.926,529.4,3,SD,Ficinia sp.,Acacia saligna,Gaertner et al. (2011),Gaertner et al. (2011)b,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,0.580407666,4,0,1,NA,1
Soil Phosphorus,mg per kg of soil,Soil phosphorus,21.7,1.23,3,22.7,3.25,3,SD,Euclea racemosa,Pennisetum clandestinum,Gaertner et al. (2011),Gaertner et al. (2011)a,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,6.9,0.15,1,0,1,0
Soil Phosphorus,mg per kg of soil,Soil phosphorus,11.3,1.36,3,13.8,1.87,3,SD,Ficinia sp.,Acacia saligna,Gaertner et al. (2011),Gaertner et al. (2011)b,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,0.580407666,4,0,1,NA,1
Soil carbon,mg per kg of soil,Soil carbon,20427,3233,3,16333,5669,3,SD,Euclea racemosa,Pennisetum clandestinum,Gaertner et al. (2011),Gaertner et al. (2011)a,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,6.9,0.15,1,0,1,0
Soil carbon,mg per kg of soil,Soil carbon,29682.3,5380.6,3,42693.7,5220.1,3,,Ficinia sp.,Acacia saligna,Gaertner et al. (2011),Gaertner et al. (2011)b,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,0.580407666,4,0,1,NA,1
Soil moisture,g,Soil moisture,8,NA,NA,8.8,NA,NA,,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil moisture,g,Soil moisture,8,NA,NA,9.1,NA,NA,,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil moisture,g,Soil moisture,8,NA,NA,8.7,NA,NA,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,77.8404,0.8723,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,64.7565,9.5951,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,88.6836,0.7465,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil nitrate,miiligrams per gram of soil,Soil Nitrogen,0.0035,0.00813,3,0.00484,0.00546,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil nitrate,miiligrams per gram of soil,Soil Nitrogen,0.0035,0.00813,3,0.00386,0.00695,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil nitrate,miiligrams per gram of soil,Soil Nitrogen,0.0035,0.00813,3,0.00821,0.00937,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil ammonium,milligrams per gram of soil,Soil Nitrogen,0.0153,0.0188,3,0.0137,0.0166,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil ammonium,milligrams per gram of soil,Soil Nitrogen,0.0153,0.0188,3,0.0163,0.0188,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil ammonium,milligrams per gram of soil,Soil Nitrogen,0.0153,0.0188,3,0.0167,0.0192,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil moisture,,Soil moisture,42.1493,1.9812,30,58.2526,1.9811,30,,Distichlis spicata,Spartina anglica,Hacker et al (2006),Hacker et al (2006)b,2006,48.23333333,-122.7333333,Observational,Coastal marsh,Aquatic,0.5,0.85,0,0,0,0
Evapotranspiration,,Water supply,1.18275,0.11723,4,1.30385,1.38748,4,,Muhlenbergia porteri,Eragrostis lehmanniana,Hamerlynk et al (2010),Hamerlynk et al (2010)a,2010,31.8214,-110.8661,Observational,Savanna,Terrestrial,0.8,0.705,0,0,0,0
Water loss,water loss in metres,Water supply,0.24732,0.057815828,4,0.52688,0.002246294,4,,Atriplex canescens,Tamarix spp,Hatler et al (2009),Hatler et al (2009)a,2009,31.692,-103.622,Observational,Scrub,Terrestrial,0.9,6.214465012,1,1,0,1
Total aboveground biomass,grams of biomass per metre squared,Aboveground biomass,58.2,54.21151989,18,5578.8,418.6072145,18,,Festuca idahoensis,Cytisus scoparius,Haubensak et al 2004,Haubensak et al 2004a,2004,46.91666667,-123.2666667,Observational,Grassland,Terrestrial,0.7,2,0,1,1,1
Total soil nitrogen,grams of nitrogen per metre squared of soil (0-10cm depth),Soil nitrogen,427.1,20.05826236,18,454.67,28.32198361,18,,Festuca idahoensis,Cytisus scoparius,Haubensak et al 2004,Haubensak et al 2004a,2004,46.91666667,-123.2666667,Observational,Grassland,Terrestrial,0.7,2,0,1,1,1
Total soil carbon,grams of carbon per metre squared of soil (0-10cm depth),Soil carbon,9117.5,417.09872,18,9339.7,540.7245556,18,,Festuca idahoensis,Cytisus scoparius,Haubensak et al 2004,Haubensak et al 2004a,2004,46.91666667,-123.2666667,Observational,Grassland,Terrestrial,0.7,2,0,1,1,1
Soil ammonium,,Soil Nitrogen,0.72,0.15,5,4.92,0.81,5,SE,Corema album,Acacia longifola,Hellmann et al. (2011),Hellmann et al. (2011)a,2011,38.25,-8.766666667,Observational,Coastal dune,Terrestrial,0.5,10,1,1,1,1
Soil nitrate,,Soil Nitrogen,0.68,0.23,5,1.55,0.47,5,SE,Corema album,Acacia longifola,Hellmann et al. (2011),Hellmann et al. (2011)a,2011,38.25,-8.766666667,Observational,Coastal dune,Terrestrial,0.5,10,1,1,1,1
Soil organic matter,,Soil carbon,0.33,0.04,3,2.59,0.18,3,SE,Corema album,Acacia longifola,Hellmann et al. (2011),Hellmann et al. (2011)a,2011,38.25,-8.766666667,Observational,Coastal dune,Terrestrial,0.5,10,1,1,1,1
Vegetation biomass,,Aboveground biomass,90.2174,17.1425,8,153.6159,21.4345,8,SE,Hesperostipa comata,Agropyron cristatum,Henderson et al (2005),Henderson et al (2005)a,2005,50.34546,-109.995117,Observational,Grassland,Terrestrial,1,0.4,0,0,1,1
Soil organic matter,,Soil carbon,762.624,64.407,8,761.6416,81.5493,8,SE,Hesperostipa comata,Agropyron cristatum,Henderson et al (2005),Henderson et al (2005)a,2005,50.34546,-109.995117,Observational,Grassland,Terrestrial,1,0.4,0,0,1,1
Soil nitrogen,,Soil nitrogen,0.02375,0.23125,15,0.4626,0.0415,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil carbon,,Soil carbon,3.4485,1.2236,15,6.0545,0.5122,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil available N,,Soil nitrogen,11.187,1.4107,15,9.1756,0.5557,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil available NO3,,Soil nitrogen,2.3738,0.1283,15,2.2433,0.2993,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil available NH4,,Soil nitrogen,8.6505,1.1542,15,6.8956,0.2992,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil nitrogen,,Soil nitrogen,0.2623,0.0492,3,0.4419,0.2324,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)a,2006,42.143742,-88.042717,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil carbon,,Soil carbon,0.3222,0.0598,3,0.6919,0.1972,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)a,2006,42.143742,-88.042717,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil nitrogen,,Soil nitrogen,3.6774,0.6799,3,5.7095,2.7998,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)b,2006,41.81457,-88.055935,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil carbon,,Soil carbon,4.5438,0.72,3,8.8961,2.1598,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)b,2006,41.81457,-88.055935,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil nitrogen,,Soil nitrogen,12.8378,0.7401,3,13.9975,0.4933,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)c,2006,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil carbon,,Soil carbon,13.0434,2.4657,3,14.018,2.0961,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)c,2006,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1
Soil phosphorus,,Soil phosphorus,4.67666,0.334665216,30,6.45344,0.563331748,30,,Achillea millefolium,Solidago gigantea,Herr et al (2007),Herr et al (2007)a,2007,50.859927,4.464912,Observational,Grassland,Terrestrial,0.6,2,0,0,1,1
Plant biomass,,Aboveground biomass,688.125,3.042090784,18,1381.7531,6.543217454,18,,Achillea millefolium,Solidago gigantea,Herr et al (2007),Herr et al (2007)a,2007,50.859927,4.464912,Observational,Grassland,Terrestrial,0.6,2,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,1.9174,0.2762,6,2.0097,0.3225,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)a,2004,45.45833333,-110.6066667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.1356,0.0098,6,0.1438,0.0114,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)a,2004,45.45833333,-110.6066667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.3862,0.2302,6,2.8806,0.4143,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)b,2004,25.39833333,-110.7033333,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2257,0.0197,6,0.2011,0.0312,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)b,2004,25.39833333,-110.7033333,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,10.3566,2.5766,6,9.6665,1.8409,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)c,2004,46.55,-111.7616667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.398,0.0753,6,0.3931,0.0589,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)c,2004,46.55,-111.7616667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,4.7496,0.276,6,5.0721,0.276,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)d,2004,45.595,-111.09,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3668,0.0098,6,0.37,0.0148,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)d,2004,45.595,-111.09,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.9707,0.3221,6,3.8791,0.3221,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)e,2004,45.77833333,-111.26,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3242,0.0213,6,0.3225,0.0212,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)e,2004,45.77833333,-111.26,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.4289,0.2759,6,3.3832,0.3681,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)f,2004,45.59833333,-111.195,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2454,0.0097,6,0.2438,0.0082,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)f,2004,45.59833333,-111.195,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,7.7831,0.5982,6,6.8171,0.7363,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3455,0.0131,6,0.3161,0.0229,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.9741,0.3221,6,3.7445,0.5523,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2455,0.0147,6,0.2242,0.0311,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,4.1157,0.368,6,3.2417,0.368,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2668,0.0196,6,0.2111,0.0147,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Aboveground biomass,Mg per ha,Aboveground biomass,240.3332,37.1986,5,279.3205,50.294,5,SD,Planchonella samoensis,Falcataria moluccana,Hughes et al. (2012),Hughes et al. (2012)a,2012,-14.298203,-170.715649,Observational,Forest,Terrestrial,40,30,1,1,NA,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.33,0.11,5,0.12,0.04,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.35,0.16,5,0.12,0.04,5,SD,Festuca rubra,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,0.525,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.42,0.08,5,0.22,0.04,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.37,0.13,5,0.22,0.04,5,SD,Festuca rubra,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,0.525,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.42,0.06,5,0.22,0.03,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
