ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
0.12665,0.37623073,15,0.1551,0.353072943,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)b,Truscott et al (2008)
0.5181,0.0907,13,0.4819,0.0701,13,Yes,Maintenance of water quality,Intermediate Service,negatively,,15.96071,8.857,43.013308,6.363058,Mixed,Forb,NA,Vila et al (2006)f,Vila et al (2006)
0.227,0.0759,21,0.3866,0.0525,21,Yes,Maintenance of water quality,Intermediate Service,negatively,,4.54484,5.31819,43.011677,6.223068,Mixed,Forb,NA,Vila et al (2006)g,Vila et al (2006)
0.2589,0.0384,12,0.2578,0.0231,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,27.80175,25.35003,39.943436,4.11438,Mixed,Forb,NA,Vila et al (2006)p,Vila et al (2006)
0.3023,0.0789,14,0.2456,0.0351,14,Yes,Maintenance of water quality,Intermediate Service,negatively,,23.30315,10.2134,35.209722,24.829102,Mixed,Forb,NA,Vila et al (2006)h,Vila et al (2006)
0.1445,0.0176,25,0.2104,0.0203,25,Yes,Maintenance of water quality,Intermediate Service,negatively,,13.6846,7.14162,39.696621,3.02948,Mixed,Forb,NA,Vila et al (2006)i,Vila et al (2006)
0.4068,0.064,24,0.4531,0.0667,24,Yes,Maintenance of water quality,Intermediate Service,negatively,,10.97393,9.85657,43.011677,6.223068,Mixed,Forb,NA,Vila et al (2006)l,Vila et al (2006)
0.3936,0.0875,12,0.38,0.1039,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Shrub,NA,Yelenik et al (2007)b,Yelenik et al (2007)
0.272,0.001,10,0.253,0.005,10,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,39.098744,-96.606152,Grassland,Grass,Grass,Reed et al (2005)a,Reed et al (2005)
0.1925,0.0176,24,0.2115,0.0194,24,Yes,Maintenance of water quality,Intermediate Service,negatively,,15.8515,9.96323,39.943436,4.11438,Mixed,Forb,NA,Vila et al (2006)j,Vila et al (2006)
0.0294,0.0088,30,0.037,0.0114,30,Yes,Maintenance of water quality,Intermediate Service,negatively,,16.83404,9.73009,40.010787,9.173584,Mixed,Forb,NA,Vila et al (2006)k,Vila et al (2006)
3.1513,1.0291,7,2.444,0.8707,7,Yes,Maintenance of water quality,Intermediate Service,negatively,,11,6,40.01388889,-105.2055556,Grassland,Forb,Grass,Suding et al (2004)a,Suding et al (2004)
1.495366667,0.114974007,4,1.596533333,0.128132377,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
39.89796667,1.798849163,4,42.80706667,3.646827789,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
0.3508,0.0615,10,0.2933,0.0205,10,Yes,Maintenance of water quality,Intermediate Service,negatively,,28.1718,18.04786,35.209722,24.829102,Mixed,Forb,NA,Vila et al (2006)m,Vila et al (2006)
1.253733333,0.114846787,4,1.4928,0.109514821,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
0.1356,0.0098,6,0.1438,0.0114,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.45833333,-110.6066667,Grassland,Forb,Grass,Hook et al (2004)a,Hook et al (2004)
0.3668,0.0098,6,0.37,0.0148,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.595,-111.09,Grassland,Forb,Grass,Hook et al (2004)d,Hook et al (2004)
0.69,0.03,5,0.99,0.06,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Allison et al 2006b,Allison et al 2006
13.2747,0.6495,4,16.1976,16.7659,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,32.837121,-97.479286,Grassland,Grass,Grass,Rout et al (2008)a,Rout et al (2008)
108.2,27.05642253,5,122,28.84527691,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,12,50.799859,4.334278,Grassland,Tree,Grass,Vanderhoeven et al (2005)c,Vanderhoeven et al (2005)
105.9,94.36206865,5,109.9,31.30495168,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,7,14,50.799751,4.414616,Scrub,Forb,Forb,Vanderhoeven et al (2005)h,Vanderhoeven et al (2005)
7.563102739,1.359565076,6,0.272709332,1.518797942,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,1,50.78611111,4.4175,Forest,Shrub,Shrub,Dassonville et al 2007b,Dassonville et al 2007
4.67666,0.334665216,30,6.45344,0.563331748,30,Yes,Maintenance of water quality,Intermediate Service,negatively,,13,1,50.859927,4.464912,Grassland,Forb,Forb,Herr et al (2007)a,Herr et al (2007)
62.6,32.64659247,5,93,38.68397601,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,11,4,50.799751,4.414616,Forest,Shrub,Shrub,Vanderhoeven et al (2005)d,Vanderhoeven et al (2005)
7.563102739,1.359878163,6,0.272709332,1.452446017,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,10,6,50.79194444,4.408333333,Forest,Shrub,Forb,Dassonville et al 2007a,Dassonville et al 2007
45.4,1.5,5,20.8,0.7,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,11.42,11.08,48.325,-122.4583333,Grassland,Shrub,NA,Shaben et al (2009)a,Shaben et al (2009)
102,10.1,5,97.7,12.5,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,39.33536,-123.800812,Grassland,Grass,Grass,Caldwell 2006a,Caldwell 2006
2.8,0.4,3,1.5,0.2,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,11.9,112.53,48.57933333,-123.5216667,Grassland,Shrub,NA,Shaben et al (2009)b,Shaben et al (2009)
116.8,266.7629097,5,170.1,115.6047144,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,10,6,50.799751,4.414616,Scrub,Shrub,Forb,Vanderhoeven et al (2005)f,Vanderhoeven et al (2005)
187.1,209.5195695,5,322.5,125.6670203,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,12,4,50.870477,4.314837,Grassland,Forb,Forb,Vanderhoeven et al (2005)g,Vanderhoeven et al (2005)
169.7,55.00727225,5,257.7,268.9989777,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,9,1,50.895427,4.416804,Grassland,Shrub,Grass,Vanderhoeven et al (2005)e,Vanderhoeven et al (2005)
2.7105,0.5569,6,5.9411,0.0259,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,48.140432,-112.918854,Grassland,Forb,NA,Thorpe et al (2006)c,Thorpe et al (2006)
33.92985,0.787423882,6,38.238,0.817667905,6,Yes,Water infiltration,Intermediate Service,Positively,Water provision,1,1,31.15,122,Wetland,Grass,Grass,Cheng et al (2009)a,Cheng et al (2010)
9.16,0.725,3,4.32,0.6915,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,40.65,-8.733333333,Coastal dune,Tree,NA,Marchante et al (2008)a,Marchante et al (2008)
16.8,4.384062043,8,19.7,6.470027048,8,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,7,1,10.12,-69.7,Scrub,Forb,,Chacon et al (2009)b,Chacon et al (2009)
16.8,4.384062043,8,19.7,6.470027048,8,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,7,1,10.12,-69.7,Scrub,Forb,,Chacon et al (2009)b,Chacon et al (2009)
0.84,0.03,5,0.98,0.02,5,Yes,Maintenance of water quality,Intermediate Service,Positively,Maintenance of water quality,-9999,-9999,19.44805556,-154.8611111,Forest,Tree,Tree,Allison et al 2006a,Allison et al 2006
68.2,54.78366545,5,97.9,51.20595668,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,40,11,50.862771,4.470963,Grassland,Forb,Grass,Vanderhoeven et al (2005)a,Vanderhoeven et al (2005)
1.12005,0.49805,6,1.3716,0.2794,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,47.204642,-113.148193,Grassland,Forb,NA,Thorpe et al (2006)a,Thorpe et al (2006)
10.4765,2.3657,6,22.9729,4.4558,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,47.328585,-114.218159,Grassland,Forb,NA,Thorpe et al (2006)b,Thorpe et al (2006)
7.563102739,1.158777356,6,0.272709332,1.208648452,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,24,1,50.45833333,3.840277778,Grassland,Shrub,Grass,Dassonville et al 2007f,Dassonville et al 2007
5.2,0.32,24,12.64,1.13,24,Yes,Maintenance of water quality,Intermediate Service,negatively,,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
6.4,0.3,3,7,0.4,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.24878,-109.873495,Grassland,Grass,Grass,Belnap et al (2005)a,Belnap et al (2005)
9.32,0.73,24,6.4,0.54,24,Yes,Water infiltration,Intermediate Service,Positively,Water provision,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
