ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
171.3448,38.0182,10,321.0715,70.3742,10,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,38.09527778,-109.8419444,Grassland,Grass,Grass,Evans et al (2001)b,Evans et al (2001)
13.22405,12.01847514,9,27.65055,24.84694092,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,41.0005,-75.090315,Forest,Shrub,Shrub,Ehrenfeld et al (2001)b,Ehrenfeld et al (2001)
18.348,0.353,50,26.773,1.203,69,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.513919,18.549385,Scrub,Tree,NA,Musil et al (1993),Musil et al (1993)
0.129,0.009,50,0.16,0.01,69,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.513919,18.549385,Scrub,Tree,NA,Musil et al (1993),Musil et al (1993)
5.2,2.169677395,4,4.833333333,1.926136028,4,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
15.3229,2.500529108,20,14.791625,2.47749666,20,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,39.85,-119.8166667,Scrub,Grass,Shrub,Prater et al (2006)a,Prater et al (2006)
0.48205,0.016266667,6,0.507616667,0.0279,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,8,3,50.25936,6.06888,Grassland,Forb,Forb,Koutika et al (2007)a,Koutika et al (2007)
1.64,0.073484692,6,1.8,0.122474487,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,8,3,50.25936,6.06888,Grassland,Forb,Forb,Koutika et al (2007)a,Koutika et al (2007)
0.2,0.02857738,6,0.17,0.004082483,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,8,3,50.25936,6.06888,Grassland,Forb,Forb,Koutika et al (2007)a,Koutika et al (2007)
0.502716667,0.010083333,6,0.5128,0.01765,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,8,1,50.870629,4.314821,Mixed,Forb,Forb,Koutika et al (2007)b,Koutika et al (2007)
0.5216,0.0227,6,0.5468,0.022716667,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,6,2,51.05844,5.27176,Grassland,Forb,Grass,Koutika et al (2007)c,Koutika et al (2007)
0.50275,0.0157,6,0.500516667,0.017933333,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,5,4,51.21992,4.39625,Grassland,Tree,Grass,Koutika et al (2007)d,Koutika et al (2007)
1.91,0.081649658,6,2.45,0.130639453,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,5,4,51.21992,4.39625,Grassland,Tree,Grass,Koutika et al (2007)d,Koutika et al (2007)
0.27,0.053072278,6,0.44,0.081649658,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,4,51.21992,4.39625,Grassland,Tree,Grass,Koutika et al (2007)d,Koutika et al (2007)
0.505016667,0.020983333,6,0.525983333,0.025616667,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,5,3,51.130699,2.750243,Forest,Tree,Tree,Koutika et al (2007)e,Koutika et al (2007)
0.503083333,0.0176,6,0.503083333,0.0176,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,3,2,51.130699,2.750243,Forest,Tree,Tree,Koutika et al (2007)f,Koutika et al (2007)
0.5032,0.0217,6,0.5032,0.0217,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,4,2,50.871845,4.314795,Mixed,Forb,Forb,Koutika et al (2007)g,Koutika et al (2007)
0.523233333,0.033283333,6,0.523233333,0.033283333,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,2,1,50.800919,4.414715,Forest,Forb,Forb,Koutika et al (2007)h,Koutika et al (2007)
15.92,1.959591794,6,10.78,0.845073961,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,2,1,50.800919,4.414715,Forest,Forb,Forb,Koutika et al (2007)h,Koutika et al (2007)
0.506483333,0.027166667,6,0.506483333,0.027166667,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,3,1,50.800919,4.414715,Forest,Shrub,Forb,Koutika et al (2007)i,Koutika et al (2007)
0.52705,0.017816667,6,0.52705,0.017816667,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,5,1,51.05844,5.27176,Grassland,Shrub,Forb,Koutika et al (2007)j,Koutika et al (2007)
9.42,0.493980431,6,8.47,0.816496581,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,5,1,51.05844,5.27176,Grassland,Shrub,Forb,Koutika et al (2007)j,Koutika et al (2007)
0.59,0.163299316,6,0.38,0.020412415,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,1,51.05844,5.27176,Grassland,Shrub,Forb,Koutika et al (2007)j,Koutika et al (2007)
528,165,10,532,56,10,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,19.733421,-155.090389,Forest,Shrub,Tree,Kurten et al (2008)a,Kurten et al (2008)
70,3,10,59,3,10,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,19.733421,-155.090389,Forest,Shrub,Tree,Kurten et al (2008)a,Kurten et al (2008)
6.933333333,0.769786705,7,4.333333333,0.151738497,7,Yes,Water infiltration,Intermediate Service,Positively,Water provision,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
2.5,0.349461831,7,2.166666667,0.089942839,7,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
16.3,1.263701197,7,11.4,0.679626053,7,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
3.54003,0.55849,7,5.0667,0.92425,7,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
2.35643,0.49207,7,0.63412,0.11812,7,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
261.9,31.6,7,587.8,42.4,7,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
83.65,3.630812581,9,79.11666667,3.708341948,9,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,39.576619,-74.331007,Wetland,Grass,Grass,Windham et al (2003)a,Windham et al (2003)
3.7,0.491934955,20,5.15,0.424852916,20,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,,,41.935998,-70.044708,Forest,Tree,NA,Holle et al (2006)a,Von Holle et al (2006)
27.5,1.94537914,20,29.3,0.804984472,20,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,,,41.935998,-70.044708,Forest,Tree,NA,Holle et al (2006)a,Von Holle et al (2006)
-0.0519,0.04745,2,-0.18785,0.18905,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,,,19.344837,-155.474396,Forest,Shrub,Tree,Hall et al (2007)b,Hall et al (2007)
0.0158,0.0699,2,0,0.04155,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,,,19.344837,-155.474396,Forest,Shrub,Tree,Hall et al (2007)b,Hall et al (2007)
31.1686,0.514919739,6,21.2119,0.644464302,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,1,1,31.877558,-110.882263,Desert,Grass,Grass,Ignace et al (2007)b,Ignace et al (2007)
36.1835,0.715957166,6,23.4717,0.722059822,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,1,1,31.877558,-110.882263,Desert,Grass,Grass,Ignace et al (2007)c,Ignace et al (2007)
30.2748,0.775211164,6,22.691,0.587102766,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,1,1,31.877558,-110.882263,Desert,Grass,Grass,Ignace et al (2007)d,Ignace et al (2007)
90.2174,17.1425,8,153.6159,21.4345,8,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,49,35,50.34546,-109.995117,Grassland,Grass,Grass,Henderson et al (2005)a,Henderson et al (2005)
207.5253,34.3365,8,382.4917,60.1148,8,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,49,35,50.34546,-109.995117,Grassland,Grass,Grass,Henderson et al (2005)a,Henderson et al (2005)
762.624,64.407,8,761.6416,81.5493,8,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,49,35,50.34546,-109.995117,Grassland,Grass,Grass,Henderson et al (2005)a,Henderson et al (2005)
1.97355,0.521425094,16,2.07025,0.531930037,16,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,19.1,-155.55,Forest,Grass,Tree,Mack et al (2003)a,Mack et al (2003)
0.43735,0.349545085,16,0.57535,0.419171845,16,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,19.1,-155.55,Forest,Grass,Tree,Mack et al (2003)a,Mack et al (2003)
0.33546,0.119473374,40,0.45044,0.110304449,40,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,19.1,-155.55,Forest,Grass,Tree,Mack et al (2003)a,Mack et al (2003)
0.98915,0.397957184,16,0.89505,0.301203206,16,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,19.1,-155.55,Forest,Grass,Tree,Mack et al (2003)a,Mack et al (2003)
259.5945,27.2809,4,319.0775,42.1629,4,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,19.1,-155.55,Forest,Grass,Tree,Mack et al (2003)aa,Mack et al (2003)a
53.81,3.2,14,56.2,3.06,14,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,9.71,8.21,46.78333333,6.15,Mixed,Forb,NA,Scharfy et al (2009)a,Scharfy et al (2009)
3.34,0.31,14,3.48,0.3,14,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,9.71,8.21,46.78333333,6.15,Mixed,Forb,NA,Scharfy et al (2009)a,Scharfy et al (2009)
15.5803,1.8919,6,13.967,3.1894,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,32.600626,-117.127991,Scrub,Grass,Shrub,Wolkowich et al (2009)a,Wolkowich et al (2009)
15.5803,1.8919,6,13.967,3.1894,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,32.600626,-117.127991,Scrub,Grass,Shrub,Wolkowich et al (2009)a,Wolkowich et al (2009)
,0.0673,0.0054,6,0.0991,0.0199,Yes,Belowground carbon storage,Intermediate Service,Postively,Climate regulation,-9999,-9999,32.600626,-117.127991,Scrub,Grass,Shrub,Wolkowich et al (2010)a,Wolkowich et al (2010)
1.55,0.067168232,7,0.635,0.021782857,7,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
36.8,2.628779728,7,12.5,0.479190389,7,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,25.995081,-81.482849,Forest,Tree,Tree,Martin et al 2009a,Martin et al 2009
43.1,2.01246118,5,62.7,3.443544685,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
4.4,0.178885438,5,4.7,0.178885438,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
14.44,0.939148551,5,32.5,2.146625258,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
28.1,1.386362146,5,39.3,1.431083506,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
0.6,0.02236068,5,0.6,0.031304952,5,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
25.3,0.491934955,5,24.6,0.939148551,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,24.70394444,102.8801667,Forest,Forb,Grass,Niu et al (2007)a,Niu et al (2007)
23.675,0.45757513,5,23.525,0.445813863,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)a,Ogle et al (2003)
281.75,25.83602137,5,307,23.66035714,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)a,Ogle et al (2003)
295.25,18.85967921,5,274.25,22.22751673,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)a,Ogle et al (2003)
438.25,49.49873736,5,535.5,58.68081032,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)a,Ogle et al (2003)
192,14.62660248,5,174,26.23213678,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)a,Ogle et al (2003)
18.275,0.350891721,5,18.275,0.447911822,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)b,Ogle et al (2003)
227,12.71072382,5,222.25,20.71382389,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)b,Ogle et al (2003)
355.25,54.87599657,5,473.75,41.56245301,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)b,Ogle et al (2003)
167.75,20.06551769,5,204.5,50.91721222,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)b,Ogle et al (2003)
26.35,0.921954446,5,26.2,0.955248659,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)c,Ogle et al (2003)
