Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Soil ammonium,micrograms per gram of soil,5.166122222,0.135784271,15,5.10397963,0.122199085,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Soil nitrate,micrograms per gram of soil,1.176024717,0.030430617,15,1.22065625,0.092956282,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Soil nitrate,micrograms per gram of soil,1.176024717,0.030430617,15,1.22065625,0.092956282,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Soil nitrogen,thousands of kilograms per hectare,3.8225,0.4988,15,4.5236,0.31,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Soil nitrogen,thousands of kilograms per hectare,3.8225,0.4988,15,4.5236,0.31,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Leaf litter mass,tonnes of leaves per hectare per year,6.4,0.5,9,6,0.5,9,,Macropiper excelsum,Tradescantia fluminensis,Standish et al (2004),Standish et al (2004)a,2004,-40.8,175.19,
Leaf litter mass,tonnes of leaves per hectare per year,8.5,0.6,9,7.7,0.6,9,,Alectryon excelsus,Tradescantia fluminensis,Standish et al (2004),Standish et al (2004)b,2004,-40.1,175.46,
Nitrogen flux,micrograms per day,0.9413,0.5058,6,0.8976,0.5518,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)a,2008,41.982718,-73.422661,
Nitrogen flux,micrograms per day,0.9413,0.5058,6,0.8976,0.5518,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)a,2008,41.982718,-73.422661,
Phosphorus flux,micrograms per day,0.0691,0.0364,6,0.1643,0.0656,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)a,2008,41.982718,-73.422661,
Phosphorus flux,micrograms per day,0.0691,0.0364,6,0.1643,0.0656,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)a,2008,41.982718,-73.422661,
Nitrogen flux,micrograms per day,4.6735,1.0113,6,8.9516,0.7818,6,,Stylophorum diphyllum,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)b,2008,42.333423,-71.208229,
Nitrogen flux,micrograms per day,4.6735,1.0113,6,8.9516,0.7818,6,,Stylophorum diphyllum,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)b,2008,42.333423,-71.208229,
Phosphorus flux,micrograms per day,0.5587,0.2405,6,1.1495,0.2041,6,,Stylophorum diphyllum,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)b,2008,42.333423,-71.208229,
Phosphorus flux,micrograms per day,0.5587,0.2405,6,1.1495,0.2041,6,,Stylophorum diphyllum,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)b,2008,42.333423,-71.208229,
Nitrogen flux,micrograms per day,2.7119,0.7355,6,5.0589,0.9196,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)c,2008,41.954958,-73.364811,
Nitrogen flux,micrograms per day,2.7119,0.7355,6,5.0589,0.9196,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)c,2008,41.954958,-73.364811,
Phosphorus flux,micrograms per day,0.1384,0.0145,6,0.2408,0.102,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)c,2008,41.954958,-73.364811,
Phosphorus flux,micrograms per day,0.1384,0.0145,6,0.2408,0.102,6,,Maianthmum canadense,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)c,2008,41.954958,-73.364811,
Nitrogen flux,micrograms per day,5.0948,2.2529,6,5.327,1.0575,6,,Trientalis borealis,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)d,2008,41.981442,-73.194695,
Nitrogen flux,micrograms per day,5.0948,2.2529,6,5.327,1.0575,6,,Trientalis borealis,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)d,2008,41.981442,-73.194695,
Phosphorus flux,micrograms per day,0.0715,0.0292,6,0.5165,0.175,6,,Trientalis borealis,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)d,2008,41.981442,-73.194695,
Phosphorus flux,micrograms per day,0.0715,0.0292,6,0.5165,0.175,6,,Trientalis borealis,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)d,2008,41.981442,-73.194695,
Nitrogen flux,micrograms per day,0.5123,0.3217,6,1.5721,0.7354,6,,Galium palustre,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)e,2008,41.960511,-73.308163,
Nitrogen flux,micrograms per day,0.5123,0.3217,6,1.5721,0.7354,6,,Galium palustre,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)e,2008,41.960511,-73.308163,
Phosphorus flux,micrograms per day,0.1323,0.0802,6,0.1327,0.0437,6,,Galium palustre,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)e,2008,41.960511,-73.308163,
Phosphorus flux,micrograms per day,0.1323,0.0802,6,0.1327,0.0437,6,,Galium palustre,Allaria petiolata,Rodgers et al (2008),Rodgers et al (2008)e,2008,41.960511,-73.308163,
Soil carbon content,,19.3405,1.6993,5,20.8492,1.6993,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Soil nitrogen content,,1.6966,0.1701,5,1.8369,0.1701,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Soil nitrogen content,,1.6966,0.1701,5,1.8369,0.1701,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Soil carbon content,,40.605,3.5778,5,35.4948,3.5778,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Soil nitrogen content,,3.2572,0.2776,5,2.9409,0.2776,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Soil nitrogen content,,3.2572,0.2776,5,2.9409,0.2776,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
CO2 respired,,89.4781,6.3473,5,91.7604,5.0762,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,
Aboveground biomass,,950.3151,88.1727,12,1736.6926,248.4504,12,,NA,Fallopia japonica,Aguilera et al (2009),Aguilera et al (2009)a,2009,42.350045,-72.523112,
Aboveground biomass,,31.7119,8.0157,12,88.624,32.0263,12,,Acer saccharinum,Fallopia japonica,Aguilera et al (2009),Aguilera et al (2009)b,2009,42.320954,-72.590103,
Aboveground biomass,,109.4624,32.0628,12,711.4058,264.5182,12,,Acer saccharum,Fallopia japonica,Aguilera et al (2009),Aguilera et al (2009)c,2009,42.291723,-72.617741,
Soil Organic Carbon,,6.625,0.690762461,3,5.325,0.058797686,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,
Soil nitrogen content,,0.675,0.605185922,3,7.625,0.796476616,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,
Soil Organic carbon,,2.5,0.070710678,8,2.9,0.106066017,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,
Soil total nitrogen,,0.19,0.007071068,8,0.15,0.007071068,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,
Soil total nitrogen,,0.19,0.007071068,8,0.15,0.007071068,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,
Belowground biomass,,246,35.35533906,8,180,9.192388155,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,
Belowground biomass,,246,35.35533906,8,180,9.192388155,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,
Soil Organic carbon,,1.6,0.106066017,8,2,0.070710678,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Soil total nitrogen,,0.14,0.010606602,8,0.15,0.010606602,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Soil total nitrogen,,0.14,0.010606602,8,0.15,0.010606602,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Soil phosphorus,,16.8,4.384062043,8,19.7,6.470027048,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Soil phosphorus,,16.8,4.384062043,8,19.7,6.470027048,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Belowground biomass,,286,39.59797975,8,500,47.72970773,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Belowground biomass,,286,39.59797975,8,500,47.72970773,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,
Soil carbon content,,3.453883333,0.313166478,6,4.948516667,0.34459668,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,
Soil Water content,,33.92985,0.787423882,6,38.238,0.817667905,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,
CH4 flux,,0.09995,0.085939413,6,0.094623608,0.148093951,6,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
Aboveground biomass,,1941.80858,131.92386,3,2405.3246,184.64098,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
Belowground biomass,,317.9285,89.20162,3,953.50408,95.16836,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
Belowground biomass,,317.9285,89.20162,3,953.50408,95.16836,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
Belowground biomass,,317.9285,89.20162,3,953.50408,95.16836,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
CH4 flux,,0.34114,0.05784,3,0.39038,0.06022,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
N2O flux,,3.57518,1.23332,3,4.45608,0.88538,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,
Aboveground biomass,,42.0435,12.3299,5,69.75,15.27665,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Belowground biomass,,550.2045,265.7428,5,115.03705,112.2513,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Belowground biomass,,550.2045,265.7428,5,115.03705,112.2513,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Available soil nitrogen,,1.8406,0.584266667,5,0.9986,0.294666667,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Available soil nitrogen,,1.8406,0.584266667,5,0.9986,0.294666667,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Total soil carbon,,2.1788,0.1911,5,1.5777,0.1367,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Total soil nitrogen,,0.204,0.0261,5,0.1532,0.0151,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Total soil nitrogen,,0.204,0.0261,5,0.1532,0.0151,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,
Soil moisture,,22.76,0.24,4,18.35,0.24,4,,Bromus tectorum,Centairea solsititialis,Enloe et al (2004),Enloe et al (2004)a,2004,41.726759,-122.500885,
Groundwater usage,,78.9125,0.603401292,36,93.7,19.3,5,,Myrica cerifera,Schinus terebinthifolius,Ewe et al (2002),Ewe et al (2002)a,2002,25.408392,-80.686169,
Groundwater usage,,40.445,1.414715119,18,82.3,10.4,5,,Myrica cerifera,Schinus terebinthifolius,Ewe et al (2002),Ewe et al (2002)b,2002,25.453815,-80.667801,
Soil organic matter,,2.72,0.04,4,3.12,0.02,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,
Total N,,0.94,0.06,4,1.12,0.03,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,
Total N,,0.94,0.06,4,1.12,0.03,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,
Available N,,23.9,1.75,4,62.55,7.35,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,
Total soil nitrogen,grams of nitrogen per kilogram (0-10cm depth),1.6,0.1,6,1.3,0.05,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
Total soil nitrogen,grams of nitrogen per kilogram (0-10cm depth),1.6,0.1,6,1.3,0.05,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
Total soil phosphorus,miligrams of phosphorus per kilogram of soil (0-10cm depth),7.5,0.4,6,4.8,0.2,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
Total soil phosphorus,miligrams of phosphorus per kilogram of soil (0-10cm depth),7.5,0.4,6,4.8,0.2,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
Aboveground biomass,grams per metre squared,236.9497,19.1874,6,463.3428,36.628,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
belowground biomass,grams per metre squared,83.8377,5.4119,6,94.4175,7.8562,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
belowground biomass,grams per metre squared,83.8377,5.4119,6,94.4175,7.8562,6,,Forb spp,Aegilops triuncialis,Drenovsky et al 2007,Drenovsky et al 2007a,2007,38.925229,-122.412415,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.214,0.01,4,0.1237,0.0046,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006a,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.214,0.01,4,0.1237,0.0046,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006a,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1347,0.0064,4,0.1228,0.0082,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006b,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1347,0.0064,4,0.1228,0.0082,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006b,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1429,0.0059,4,0.1209,0.0038,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006c,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1429,0.0059,4,0.1209,0.0038,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006c,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1903,0.0036,4,0.1734,0.0155,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006d,2006,42.22302,3.085184,
Total soil nitrogen,Percentage soil nitrogen (0-20cm),0.1903,0.0036,4,0.1734,0.0155,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006d,2006,42.22302,3.085184,
Soil carbon content,grams of carbon per kilogram,5.8,0.195,4,8.81,0.51,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Total soil nitrogen,grams of nitrogen per kilogram of soil (0-20cm depth),0.79,0.03,4,1.32,0.075,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Total soil nitrogen,grams of nitrogen per kilogram of soil (0-20cm depth),0.79,0.03,4,1.32,0.075,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil nitrate content,micrograms of nitrogen per gram of soil (0-20cm depth),1.96,0.115,4,2.53,0.275,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil nitrate content,micrograms of nitrogen per gram of soil (0-20cm depth),1.96,0.115,4,2.53,0.275,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil ammonium concentration,micrograms of ammonia per gram of soil (0-20cm depth),9.45,0.32,4,12.29,0.645,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil ammonium concentration,micrograms of ammonia per gram of soil (0-20cm depth),9.45,0.32,4,12.29,0.645,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil net ammonia mineralisation rate,micrograms of ammonia per gram of soil per day (0-20cm depth),0.04,0.005,4,0.06,0.02,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Soil net ammonia mineralisation rate,micrograms of ammonia per gram of soil per day (0-20cm depth),0.04,0.005,4,0.06,0.02,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Net nitrification rate,micrograms of nitrate per gram of soil per day (0-20cm depth),0.09,0.015,4,0.18,0.02,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Net nitrification rate,micrograms of nitrate per gram of soil per day (0-20cm depth),0.09,0.015,4,0.18,0.02,4,,NA,Mikania micrantha,Chen et al 2009,Chen et al 2009a,2009,23.16666667,112.1666667,
Carbon dioxide release,milligrams of CO2-C per gram of soil per 14 days (0-10cm depth),2.4,0.122474487,6,2.8,0.122474487,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),3.01,0.326598632,6,3.91,0.367423461,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.17,0.020412415,6,0.22,0.016329932,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.17,0.020412415,6,0.22,0.016329932,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,
Biomass,grams of dry matter per metre squared,357,43.68256708,6,917,62.05374015,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,
Carbon dioxide release,milligrams of CO2-C per gram of soil per 14 days (0-10cm depth),2,0.081649658,6,2.5,0.163299316,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),1.48,0.065319726,6,1.8,0.220454077,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.14,0.004082483,6,0.15,0.008164966,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.14,0.004082483,6,0.15,0.008164966,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,
Biomass,grams of dry matter per metre squared,252,51.4392846,6,891,41.64132563,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,
Carbon dioxide release,milligrams of CO2-C per gram of soil per 14 days (0-10cm depth),2.7,0.081649658,6,2.9,0.081649658,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),9.36,0.530722778,6,8.51,0.493980431,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.36,0.020412415,6,0.36,0.020412415,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),0.36,0.020412415,6,0.36,0.020412415,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,
Biomass,grams of dry matter per metre squared,438,69.81045767,6,760,69.40220938,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.359878163,6,0.272709332,1.452446017,6,,Petasites hybridus,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007a,2007,50.79194444,4.408333333,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.359878163,6,0.272709332,1.452446017,6,,Petasites hybridus,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007a,2007,50.79194444,4.408333333,
Soil carbon,percentage soil carbon,4.4754,0.5364,6,4.4414,0.4924,6,,Petasites hybridus,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007a,2007,50.79194444,4.408333333,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.359565076,6,0.272709332,1.518797942,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007b,2007,50.78611111,4.4175,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.359565076,6,0.272709332,1.518797942,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007b,2007,50.78611111,4.4175,
Soil nitrogen,percentage soil nitrogen,0.2424,0.0116,6,0.2424,0.0066,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007b,2007,50.78611111,4.4175,
Soil nitrogen,percentage soil nitrogen,0.2424,0.0116,6,0.2424,0.0066,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007b,2007,50.78611111,4.4175,
Soil carbon,percentage soil carbon,7.0221,0.1271,6,6.0328,0.1689,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007b,2007,50.78611111,4.4175,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.217306665,6,0.272709332,1.341837732,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007c,2007,50.57222222,4.711666667,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.217306665,6,0.272709332,1.341837732,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007c,2007,50.57222222,4.711666667,
Soil nitrogen,percentage soil nitrogen,0.1487,0.0755,6,0.2212,0.0246,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007c,2007,50.57222222,4.711666667,
Soil nitrogen,percentage soil nitrogen,0.1487,0.0755,6,0.2212,0.0246,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007c,2007,50.57222222,4.711666667,
Soil carbon,percentage soil carbon,1.6837,0.3953,6,3.3957,0.5823,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007c,2007,50.57222222,4.711666667,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.458478395,6,0.272709332,1.315527709,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007d,2007,50.38694444,4.441666667,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.458478395,6,0.272709332,1.315527709,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007d,2007,50.38694444,4.441666667,
Soil nitrogen,percentage soil nitrogen,0.2647,0.0392,6,0.2827,0.0196,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007d,2007,50.38694444,4.441666667,
Soil nitrogen,percentage soil nitrogen,0.2647,0.0392,6,0.2827,0.0196,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007d,2007,50.38694444,4.441666667,
Soil carbon,percentage soil carbon,4.3487,0.8047,6,4.0751,0.3237,6,,Urtica dioica,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007d,2007,50.38694444,4.441666667,
Soil phosphorus,mg phosphorus per kilogram of soil (0-10cm depth),7.563102739,1.037767343,6,0.272709332,1.248820445,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007e,2007,50.78638889,4.420833333,
Soil nitrogen,percentage soil nitrogen,0.4061,0.0703,6,0.2327,0.0639,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007e,2007,50.78638889,4.420833333,
Soil nitrogen,percentage soil nitrogen,0.4061,0.0703,6,0.2327,0.0639,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007e,2007,50.78638889,4.420833333,
Soil carbon,percentage soil carbon,5.8121,1.0024,6,3.4437,0.9567,6,,Rubus sp,Fallopia japonica,Dassonville et al 2007,Dassonville et al 2007e,2007,50.78638889,4.420833333,
