Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Total soil nitrogen,grams of nitrogen per kilogram,4.4,0.178885438,5,4.7,0.178885438,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil nitrate,milligrams of nitrate per kilogram,14.44,0.939148551,5,32.5,2.146625258,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil nitrate,milligrams of nitrate per kilogram,14.44,0.939148551,5,32.5,2.146625258,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil ammonia,milligrams of ammonia per kilogram,28.1,1.386362146,5,39.3,1.431083506,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil ammonia,milligrams of ammonia per kilogram,28.1,1.386362146,5,39.3,1.431083506,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Total soil phosphorus,grams of phosphorus per kilogram,0.6,0.02236068,5,0.6,0.031304952,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Total soil phosphorus,grams of phosphorus per kilogram,0.6,0.02236068,5,0.6,0.031304952,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil water content,percentage soil water content,25.3,0.491934955,5,24.6,0.939148551,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Soil moisture,millilitres per 100 gram of soil,23.675,0.45757513,5,23.525,0.445813863,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Aboveground biomass,grams per metre squared,281.75,25.83602137,5,307,23.66035714,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,295.25,18.85967921,5,274.25,22.22751673,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,295.25,18.85967921,5,274.25,22.22751673,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Aboveground litter,grams per metre squared,438.25,49.49873736,5,535.5,58.68081032,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Belowground litter,grams per metre squared,192,14.62660248,5,174,26.23213678,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)a,2003,43.58333333,-102.6333333,
Soil moisture,millilitres per 100 gram of soil,18.275,0.350891721,5,18.275,0.447911822,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Aboveground biomass,grams per metre squared,227,12.71072382,5,222.25,20.71382389,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,248.75,34.90164753,5,208.25,20.07330317,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,248.75,34.90164753,5,208.25,20.07330317,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Aboveground litter,grams per metre squared,355.25,54.87599657,5,473.75,41.56245301,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Belowground litter,grams per metre squared,167.75,20.06551769,5,204.5,50.91721222,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)b,2003,43.58333333,-102.6333333,
Soil moisture,millilitres per 100 gram of soil,26.35,0.921954446,5,26.2,0.955248659,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Aboveground biomass,grams per metre squared,248,19.91230775,5,160,13.60147051,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,380,19.14418972,5,222,16.1245155,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,380,19.14418972,5,222,16.1245155,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Aboveground litter,grams per metre squared,392.5,39.19502519,5,320.5,38.26878624,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Belowground litter,grams per metre squared,169.5,12.3794184,5,192,12.5,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)c,2003,43.58333333,-102.6333333,
Soil moisture,millilitres per 100 gram of soil,20.75,1.171537451,5,20.8,0.992471662,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)d,2003,43.58333333,-102.6333333,
Aboveground biomass,grams per metre squared,161,9.708243919,5,139.5,11.23610253,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)d,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,390,15.91383046,5,204.5,17.06604817,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)d,2003,43.58333333,-102.6333333,
Belowground biomass,grams per metre squared,390,15.91383046,5,204.5,17.06604817,5,,Poa pratensis,Bromus spp,Ogle et al (2003),Ogle et al (2003)d,2003,43.58333333,-102.6333333,
