EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Inv_Nit_fix,Nat_Nit_fix,Temp,Precip,CWD
Inorganic nitrogen,,Soil nitrogen,58.9251,5.2292,20,26.5817,3.2923,20,,Pleuraphis jamesii,Bromus tectorum,Rimer et al (2006),Rimer et al (2006)a,2006,38.044035,-109.734879,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,0,0,100.5963417,296.4856517,-1243.21878
Total soil nitrogen,,Soil Nitrogen,203.14565,1.056470371,20,172.57035,0.955469022,20,,Alloteropsis semialata,Andropogon gayanus,Rossiter-Racher et al (2009),Rossiter-Racher et al (2009)a,2009,-12.71666667,131.8166667,Observational,Savanna,Terrestrial,0.85,4,0,0,0,0,0,0,274.08,1370.760003,-1039.050757
Soil nitrogen content,,Soil Nitrogen,1.6966,0.1701,5,1.8369,0.1701,5,,Anthoxanthum odoratum,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,Observational,Grassland,Terrestrial,0.325,0.275,0,0,1,1,0,0,82.9784618,683.8290823,-293.2583498
Soil nitrogen content,,Soil Nitrogen,3.2572,0.2776,5,2.9409,0.2776,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,Observational,Grassland,Terrestrial,0.7,0.275,0,0,1,1,0,0,82.9784618,683.8290823,-293.2583498
Soil nitrogen,thousands of kilograms per hectare,Soil Nitrogen,3.7281,0.3236,15,4.6315,0.1078,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,Observational,Grassland,Terrestrial,35.5,0.65,0,0,1,1,0,0,117.9340117,223.1729287,-1346.963792
Soil nitrogen,thousands of kilograms per hectare,Soil Nitrogen,3.8225,0.4988,15,4.5236,0.31,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,0,0,117.9340117,223.1729287,-1346.963792
Soil mineral nitrogen,micrograms per gram,Soil nitrogen,5.5809,2.1254,6,7.6418,0.9857,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1,0,0,153.9,965.4100003,-270.3283434
Soil mineral nitrogen,micrograms per gram,Soil nitrogen,10.9514,2.0328,6,11.6569,1.0165,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1,0,0,153.9,965.4100003,-270.3283434
Soil mineral nitrogen,micrograms per gram,Soil nitrogen,9.3911,1.2013,6,11.0207,1.6324,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1,0,0,153.9,965.4100003,-270.3283434
Soil nitrogen,%,Soil nitrogen,0.2167,0.0288,3,0.2131,0.0271,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
 
Barney (2015)","Tekiela and 
Barney (2015)a",2015,37.281008,-80.475236,Observational,Forest,Terrestrial,27,0.7,1,0,1,0,0,0,109.4707505,988.0633469,-182.9042191
Soil nitrogen content,%,Soil nitrogen,0.0839,0.0073,3,0.1019,0.0072,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and 
Shrestha (2011)","Timsina and
 
Shrestha (2011)a",2011,28.125761,84.717856,Observational,Grassland,Terrestrial,0.45,0.6,0,0,1,1,0,0,175.2302143,1920.039591,-266.640277
Soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.16875,0.462281229,15,0.1715,0.357831322,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1,0,0,72.80000003,802.6499995,-32.72832887
Soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.12665,0.37623073,15,0.1551,0.353072943,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1,0,0,72.80000003,802.6499995,-32.72832887
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.14,0.02236068,5,0.15,0.067082039,5,SE,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.895427,4.416804,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.02,0.02236068,5,0.04,0.02236068,5,SE,Arrhenatherum elatius,Prunus serotina,Vanderhoeven et al (2005),Vanderhoeven et al (2005)b,2005,50.895427,4.416804,Observational,Wasteland,Terrestrial,1.5,29,0,1,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.15,0.04472136,5,0.16,0.04472136,5,SE,Carex arenaria,Rosa rugosa,Vanderhoeven et al (2005),Vanderhoeven et al (2005)c,2005,50.895427,4.416804,Observational,Coastal dune,Terrestrial,0.4,1.25,0,1,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.31,0.245967478,5,0.22,0.089442719,5,SE,Arrhenatherum elatius,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)d,2005,50.895427,4.416804,Observational,Forest,Terrestrial,1.5,3.5,0,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.26,0.178885438,5,0.28,0.111803399,5,SE,Rubus fruticosus,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)e,2005,50.895427,4.416804,Observational,Wasteland,Terrestrial,5,3.5,1,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.35,0.089442719,5,0.34,0.894427191,5,SE,Petasites hybridus,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)f,2005,50.895427,4.416804,Observational,Pond bank,Terrestrial,1,3.5,0,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.52,0.313049517,5,0.45,0.424852916,5,SE,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)g,2005,50.895427,4.416804,Observational,Grassland,Terrestrial,1.5,3.75,0,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,Soil nitrogen content,Soil nitrogen,0.24,0.111803399,5,0.25,0.089442719,5,SE,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)h,2005,50.895427,4.416804,Observational,Scrub,Terrestrial,1.5,3.75,0,0,1,1,0,0,101.617791,791.5885599,-165.4220483
Soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.14,0.02236068,20,0.27,0.02236068,20,SE,Pinus rigida,Robinia pseudoacacia,Von Holle et al (2006),Holle et al (2006)a,2006,41.935998,-70.044708,Observational,Forest,Terrestrial,18,25,1,1,1,1,1,0,95,1120.48147,-163.6608096
Soil nitrogen,,Soil nitrogen,1.656166667,0.336749165,9,1.673333333,0.364965752,9,SE,Spartina patens,Phragmites australis,Windham et al (2003),Windham et al (2003)a,2003,39.576619,-74.331007,Observational,Coastal marsh,Aquatic,0.45,2,0,0,0,1,0,0,119.1001527,1112.808357,-196.1563285
Total soil nitrogen content,milligrams of nitrogen per gram of soil,Soil Nitrogen,0.0874,0.0164,12,0.8775,0.1531,12,,Protea scolymocephela,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,Observational,Scrub,Terrestrial,1,4,1,1,1,1,1,0,168.107588,482.0449458,-1013.429184
Total soil nitrogen content,milligrams of nitrogen per gram of soil,Soil nitrogen,0.3936,0.0875,12,0.38,0.1039,12,,Cynodon dactylon,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,Observational,Grassland,Terrestrial,0.155,1.5,0,0,0,1,1,0,168.107588,482.0449458,-1013.429184
