,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
92,92,Impatiens glandulifera,Impatiens glandulifera,TRUE,NCBI,0.988,Himalayas,,1.310370697,Non-native,2,1,NA,https://en.wikipedia.org/wiki/Impatiens_glandulifera,,1.5
93,93,Kalanchoe daigremontiana,Kalanchoe daigremontiana,TRUE,NCBI,0.988,Madagascar,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Bryophyllum_daigremontianum,,1
94,94,Kandelia obovata,Kandelia obovata,TRUE,NCBI,0.988,Southern China,,NA,,NA,NA,3,http://www.jstor.org/stable/3647398?seq=1#page_scan_tab_contents,,3
95,95,Krascheninnikovia lanata,Krascheninnikovia lanata,TRUE,NCBI,0.988,Western North America,,NA,,1,0.5,NA,https://en.wikipedia.org/wiki/Krascheninnikovia_lanata,,0.75
96,96,Lantana camara,Lantana camara,TRUE,NCBI,0.988,Central and South America,,NA,,NA,NA,2,https://en.wikipedia.org/wiki/Lantana_camara,,2
97,97,Ligustrum lucidum,Ligustrum lucidum,TRUE,NCBI,0.988,Southern China,,NA,,NA,NA,10,https://en.wikipedia.org/wiki/Ligustrum_lucidum,,10
98,98,Liriodendron tulipifera,Liriodendron tulipifera,TRUE,NCBI,0.988,North America,,NA,,30,25,NA,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,,27.5
99,99,Lonicera maackii,Lonicera maackii,TRUE,NCBI,0.988,East and Central Asia,,NA,,NA,NA,6,https://en.wikipedia.org/wiki/Lonicera_maackii,,6
100,100,Lupinus luteus,Lupinus luteus,TRUE,NCBI,0.988,Southern Europe and North Africa,,0.396862697,Non-native,NA,NA,1.5,http://www.kew.org/science-conservation/plants-fungi/lupinus-polyphyllus-large-leaved-lupin,,1.5
101,101,Lythrum salicaria,Lythrum salicaria,TRUE,Catalogue of Life,0.988,"Europe, North Africa, Asia, southeastern Australia",,0.696238325,Native,2,1,NA,https://en.wikipedia.org/wiki/Lythrum_salicaria,,1.5
102,102,Macropiper excelsum,Macropiper excelsum,TRUE,Catalogue of Life,0.988,New Zealand,,NA,,3,2,NA,http://www.nznativeplants.co.nz/Articles/Macropiper+excelsum.html,,2.5
103,103,Maianthmum canadense,Maianthemum canadense,FALSE,Catalogue of Life,0.75,North America,,NA,,0.25,0.1,NA,https://en.wikipedia.org/wiki/Maianthemum_canadense,,0.175
104,104,Melaleuca quinquenervia,Melaleuca quinquenervia,TRUE,NCBI,0.988,"New Caledonia, Papua New Guinea, Eastern Australia",,NA,,NA,NA,20,https://en.wikipedia.org/wiki/Melaleuca_quinquenervia,,20
105,105,Melilotus,Melilotus,TRUE,Catalogue of Life,0.75,,Origin unsure,NA,,NA,NA,NA,,,NA
106,106,Melinis minutiflora,Melinis minutiflora,TRUE,NCBI,0.988,Africa,,NA,,1.5,0.75,NA,https://en.wikipedia.org/wiki/Melinis_minutiflora,,1.125
107,107,Metrosideros polymorpha,Metrosideros polymorpha,TRUE,NCBI,0.988,Hawaii,,NA,,25,20,NA,https://en.wikipedia.org/wiki/Metrosideros_polymorpha,,22.5
108,108,Microstegium vimineum,Microstegium vimineum,TRUE,NCBI,0.988,"South, East and South-East Asia",,NA,,1,0.4,NA,https://en.wikipedia.org/wiki/Microstegium_vimineum,,0.7
109,109,Mikania micrantha,Mikania micrantha,TRUE,NCBI,0.988,Subtropical Americas,,NA,,NA,NA,NA,,Species is a climbing vine. What does this mean for height?,NA
110,110,Mimulus guttatus,Mimulus guttatus,TRUE,Freebase,0.988,Western North America,,0.342246116,Non-native,0.8,0.1,NA,https://en.wikipedia.org/wiki/Mimulus_guttatus,,0.45
111,111,Molinia caerulea,Molinia caerulea,TRUE,NCBI,0.988,"Europe, west Asia, North America",,0.74246212,Native,NA,NA,0.9,https://en.wikipedia.org/wiki/Molinia_caerulea,,0.9
112,112,Myrica cerifera,Myrica cerifera,TRUE,Freebase,0.988,North and Central America,,NA,,9,3,NA,http://plants.usda.gov/factsheet/pdf/fs_mypu.pdf,,6
113,113,Myrica faya,Myrica faya,TRUE,Freebase,0.988,"Azores, Madeira, Canary Islands",,NA,,8,3,NA,https://en.wikipedia.org/wiki/Myrica_faya,,5.5
114,114,Nassella pulchra,Nassella pulchra,TRUE,NCBI,0.988,California,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Nassella_pulchra,,1
115,115,Nassella viridula,Nassella viridula,TRUE,NCBI,0.988,North America,,NA,,NA,NA,1.2,https://en.wikipedia.org/wiki/Nassella_viridula,,1.2
116,116,Opuntia caracassana,Opuntia caracassana,TRUE,NCBI,0.988,,Origin unsure,NA,,2,1,NA,https://de.wikipedia.org/wiki/Opuntia_caracassana,,1.5
117,117,Oryzopsis hymenoides,Oryzopsis hymenoides,TRUE,Freebase,0.988,Western North America,,NA,,61,10,NA,https://en.wikipedia.org/wiki/Oryzopsis_hymenoides,,35.5
118,118,Oxalis pes-caprae,Oxalis pes-caprae,TRUE,NCBI,0.988,South Africa,,0.2,Non-native,0.3,0.15,NA,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Oxalis_pes-caprae.htm,,0.225
119,119,Panicum virgatum,Panicum virgatum,TRUE,NCBI,0.988,North America,,NA,,NA,NA,2.7,https://en.wikipedia.org/wiki/Panicum_virgatum,,2.7
120,120,Parthenium hysterophorus,Parthenium hysterophorus,TRUE,NCBI,0.988,American tropics,,NA,,0.9,0.3,NA,http://www.cabi.org/isc/datasheet/45573,,0.6
121,121,Pascopyrum smithii,Pascopyrum smithii,TRUE,NCBI,0.988,North America,,NA,,0.9,0.3,NA,http://plants.usda.gov/factsheet/pdf/fs_pasm.pdf,,0.6
122,122,Paspalum quadrifarium,Paspalum quadrifarium,TRUE,NCBI,0.988,Southern South America,Origin unsure,NA,,NA,NA,2,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Paspalum_quadrifarium.htm,,2
123,123,Paspulum conjugatum,Paspalum conjugatum,FALSE,Catalogue of Life,0.75,South America,Origin unsure,NA,,NA,NA,0.3,http://www.cabi.org/isc/datasheet/38951,,0.3
124,124,Pelargonium capitatum,Pelargonium capitatum,TRUE,NCBI,0.988,South Africa,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Pelargonium_capitatum,,1
125,125,Pennisetum ciliare,Pennisetum ciliare,TRUE,EOL,0.988,"Africa, Southern Asia",,NA,,NA,NA,0.5,https://en.wikipedia.org/wiki/Cenchrus_ciliaris,,0.5
126,126,Pennisetum clandestinum,Pennisetum clandestinum,TRUE,Freebase,0.988,East Africa,,NA,,NA,NA,0.15,http://www.cabi.org/isc/datasheet/39765,,0.15
127,127,Pennisetum polystachion,Pennisetum polystachion,TRUE,EOL,0.988,Tropical Africa,,NA,,3,0.3,NA,http://www.cabi.org/isc/datasheet/39770,,1.65
128,128,Pennisetum setaceum,Pennisetum setaceum,TRUE,Union 4,0.988,"Tropical Africa, Middle East, SW Asia",,NA,,NA,NA,0.9,https://en.wikipedia.org/wiki/Pennisetum_setaceum,,0.9
129,129,Petasites hybridus,Petasites hybridus,TRUE,NCBI,0.988,Europe and Northern Asia,,0.575,Native,1.2,0.8,NA,https://en.wikipedia.org/wiki/Petasites_hybridus,,1
130,130,Phalaris arundinacea,Phalaris arundinacea,TRUE,NCBI,0.988,"Europe, Asia, North Africa, North America",,1.45,Native,NA,NA,2,https://en.wikipedia.org/wiki/Phalaris_arundinacea,,2
131,131,Phragmites australis,Phragmites australis,TRUE,NCBI,0.988,Unsure,,2.5,Unclear,6,2,NA,https://en.wikipedia.org/wiki/Phragmites,,4
132,132,Pilosella officinarum,Pilosella officinarum,TRUE,NCBI,0.988,Europe and Northern Asia,,NA,,0.5,0.05,NA,https://en.wikipedia.org/wiki/Hieracium_pilosella,,0.275
133,133,Pinus pinaster,Pinus pinaster,TRUE,NCBI,0.988,Western Mediterranean,,30,Non-native,35,20,NA,https://en.wikipedia.org/wiki/Pinus_pinaster,,27.5
134,134,Planchonella samoensis,Planchonella samoensis,TRUE,uBio NameBank,0.988,,Origin unsure,NA,,NA,NA,40,http://www.pngplants.org/PNGtrees/TreeDescriptions/Planchonella_torricellensis_K_Schum_H_J_.html,,40
