SiteID,Latitude,Longitude
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Fisher et al 2006b,-31.947556,115.78105
Fisher et al 2006b,-31.947556,115.78105
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)f,45.59833333,-111.195
Hook et al (2004)f,45.59833333,-111.195
