ID	Family	taxa	Trait	Data	DataType	Method	Source	Region2	Redundancy
C04512	Apiaceae	Bupleurum foliosum	RespFire	yes	categorical	compilation	Andres2002	W	93
E02362	Apiaceae	Bupleurum foliosum	RespFire	low	semi-quantitative	experience	Gibraltar	W	93
E02269	Apiaceae	Bupleurum foliosum	SeedlEmerg	yes	categorical	measure	Ojeda1995	W-S	NA
C01288	Apiaceae	Bupleurum fruticescens	FruitType	dry	categorical	experience	Valencia	W	NA
C00193	Apiaceae	Bupleurum fruticescens	Height	1	quantitative	general reference	Mateo1990	W	NA
C00517	Apiaceae	Bupleurum fruticescens	LeafPhenology	evergreen	categorical	experience	Valencia	W	NA
C00746	Apiaceae	Bupleurum fruticescens	LeafShape	linear	categorical	experience	Valencia	W	NA
C00841	Apiaceae	Bupleurum fruticescens	LeafSize	39.4	quantitative	measure	Valencia	W	NA
C01381	Apiaceae	Bupleurum fruticescens	Propagule	fruit	categorical	experience	Valencia	W	NA
P00190	Apiaceae	Bupleurum fruticescens	RespFire	yes	categorical	experience	PausasUnp	W	NA
R00933	Apiaceae	Bupleurum fruticescens	RespFire	no	categorical	compilation	Cuco1987	W	567
R01228	Apiaceae	Bupleurum fruticescens	RespFire	no	categorical	compilation	Lloret2003	W	566-567
R01067	Apiaceae	Bupleurum fruticescens	RespFire	yes	categorical	measure	Abad1996	W	NA
E02023	Apiaceae	Bupleurum fruticescens	RespFire	no	categorical	experience	SBarcelona	W	566
R00535	Apiaceae	Bupleurum fruticescens	RespFire	yes	categorical	experience	Caturla2000	W	NA
C07981	Apiaceae	Bupleurum fruticescens	RootDepth	0.88	quantitative	measure	GuerreroCampo2006	W	NA
C02603	Apiaceae	Bupleurum fruticescens	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
R03859	Apiaceae	Bupleurum fruticescens	SeedlEmerg	yes	categorical	compilation	Lloret2003	W	634-635
R03767	Apiaceae	Bupleurum fruticescens	SeedlEmerg	yes	categorical	measure	Abad1996	W	NA
R03629	Apiaceae	Bupleurum fruticescens	SeedlEmerg	yes	categorical	compilation	Cuco1987	W	634
E02024	Apiaceae	Bupleurum fruticescens	SeedlEmerg	yes	categorical	experience	SBarcelona	W	635
C01146	Apiaceae	Bupleurum fruticescens	SeedMass	light	semi-quantitative	experience	Valencia	W	NA
C05230	Apiaceae	Bupleurum fruticosum	DispMode	zoochory	categorical	compilation	Kazanis2004a	E	NA
R00013	Apiaceae	Bupleurum fruticosum	RespFire	yes	categorical	experience	LopezSoria1992	W	NA
R00566	Apiaceae	Bupleurum fruticosum	RespFire	yes	categorical	compilation	Kazanis2004a	E	NA
E02026	Apiaceae	Bupleurum fruticosum	RespFire	yes	categorical	experience	SBarcelona	W	NA
R00934	Apiaceae	Bupleurum fruticosum	RespFire	yes	categorical	compilation	Cuco1987	W	NA
R03630	Apiaceae	Bupleurum fruticosum	SeedlEmerg	no	categorical	compilation	Cuco1987	W	NA
E02027	Apiaceae	Bupleurum fruticosum	SeedlEmerg	no	categorical	experience	SBarcelona	W	NA
R03271	Apiaceae	Bupleurum fruticosum	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C04969	Apiaceae	Bupleurum fruticosum	SeedMass	3.95	quantitative	measure	BLlavors2001	W	NA
C05555	Apiaceae	Bupleurum praealtum	DispMode	anemochory	categorical	compilation	Trabaud1992	U	NA
R00273	Apiaceae	Bupleurum praealtum	RespFire	no	categorical	experience	Trabaud1992	W	NA
R03041	Apiaceae	Bupleurum praealtum	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C05466	Apiaceae	Bupleurum rigidum	DispMode	autochory	categorical	compilation	Trabaud1992	U	NA
C06641	Apiaceae	Bupleurum rigidum	MatSap	early	semi-quantitative	measure	Trabaud1985b	W	NA
P00107	Apiaceae	Bupleurum rigidum	RespDist	yes	categorical	compilation	Buhk2007	U	NA
R00184	Apiaceae	Bupleurum rigidum	RespFire	no	categorical	experience	Trabaud1992	W	NA
R00935	Apiaceae	Bupleurum rigidum	RespFire	yes	categorical	compilation	Cuco1987	W	NA
C06494	Apiaceae	Bupleurum rigidum	RespFire	yes	categorical	measure	Trabaud2002	W	NA
